ã»[none]System.Void CinemachineExampleWindow::OnGUI():27(1)
[String::Format][System.Int32]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::.ctor():20(1)
[String::Format][System.Int32]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::.ctor():21(1)
[String::Format][System.Int32]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::.ctor():24(1)
[String::Format]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::.ctor():25(1)
[LogSystem]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::.ctor():32(1)
[find:Update, Assets.Scripts.Profiler.ProfilerDataUpdate::Collect][String::Concat][System.Int32]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::Collect():77(1)
[find:Update, Assets.Scripts.Profiler.ProfilerDataUpdate::Collect][String::Concat][System.Int32]System.Void Assets.Scripts.Profiler.ProfilerDataUpdate::Collect():89(1)
[none]System.Single[] Simplex.Noise::Calc1D(System.Int32,System.Single):17(1)
[none]System.Void Simplex.Noise::.cctor():290(1)
[none]System.Void Simplex.Noise::.cctor():59(1)
[none]System.Void Simplex.Noise::set_Seed(System.Int32):70(1)
[none]System.Void Simplex.Noise::set_Seed(System.Int32):75(1)
[none]System.Void M1Trail.CircularBuffer`1::.ctor(System.Int32):26(1)
[none]System.Void XftWeapon.VertexPool::InitArrays():192(1)
[none]System.Void XftWeapon.VertexPool::InitArrays():193(1)
[none]System.Void XftWeapon.VertexPool::InitArrays():194(1)
[none]System.Void XftWeapon.VertexPool::InitArrays():195(1)
[none]System.Void XftWeapon.VertexPool::EnlargeArrays(System.Int32,System.Int32):205(1)
[none]System.Void XftWeapon.VertexPool::EnlargeArrays(System.Int32,System.Int32):209(1)
[none]System.Void XftWeapon.VertexPool::EnlargeArrays(System.Int32,System.Int32):213(1)
[none]System.Void XftWeapon.VertexPool::EnlargeArrays(System.Int32,System.Int32):217(1)
[none]System.Void UnityEngine.AI.NavMeshModifier::.ctor():25(1)
[none]System.Void UnityEngine.AI.NavMeshModifierVolume::.ctor():25(1)
[none]System.Void UnityEngine.PostProcessing.AmbientOcclusionComponent::.ctor():26(1)
[none]System.Void UnityEngine.PostProcessing.BloomComponent::.ctor():20(1)
[none]System.Void UnityEngine.PostProcessing.BloomComponent::.ctor():21(1)
[none]System.Void UnityEngine.PostProcessing.BuiltinDebugViewsComponent/ArrowArray::BuildMesh(System.Int32,System.Int32):44(1)
[none]System.Void UnityEngine.PostProcessing.BuiltinDebugViewsComponent/ArrowArray::BuildMesh(System.Int32,System.Int32):77(1)
[none]System.Void UnityEngine.PostProcessing.ChromaticAberrationComponent::Prepare(UnityEngine.Material):50(1)
[none]System.Void UnityEngine.PostProcessing.ColorGradingComponent::.ctor():36(1)
[none]System.Void UnityEngine.PostProcessing.DitheringComponent::LoadNoiseTextures():33(1)
[none]UnityEngine.Texture UnityEngine.PostProcessing.EyeAdaptationComponent::Prepare(UnityEngine.RenderTexture,UnityEngine.Material):93(1)
[none]System.Void UnityEngine.PostProcessing.EyeAdaptationComponent::.ctor():18(1)
[none]System.Void UnityEngine.PostProcessing.MotionBlurComponent/FrameBlendingFilter::.ctor():230(1)
[none]UnityEngine.RenderTextureFormat UnityEngine.PostProcessing.MotionBlurComponent/FrameBlendingFilter::GetPreferredRenderTextureFormat():295(1)
[none]System.Void UnityEngine.PostProcessing.ScreenSpaceReflectionComponent::.ctor():68(1)
[none]System.Void UnityEngine.PostProcessing.TaaComponent::.ctor():19(1)
[none]System.Void UnityEngine.PostProcessing.AntialiasingModel/FxaaQualitySettings::.cctor():42(1)
[none]System.Void UnityEngine.PostProcessing.AntialiasingModel/FxaaConsoleSettings::.cctor():105(1)
[none]UnityEngine.PostProcessing.ColorGradingModel/CurvesSettings UnityEngine.PostProcessing.ColorGradingModel/CurvesSettings::get_defaultSettings():238(4)
[none]UnityEngine.Mesh UnityEngine.PostProcessing.GraphicsUtils::get_quad():45(1)
[none]UnityEngine.Mesh UnityEngine.PostProcessing.GraphicsUtils::get_quad():53(1)
[none]UnityEngine.Mesh UnityEngine.PostProcessing.GraphicsUtils::get_quad():61(1)
[none]System.Void Grass.GrassDither::.cctor():10(1)
[none]System.Void Grass.TerrainGrassManager::OnEnable():83(1)
[none]System.Void ClusterShading.ClusterCullLighting::generateAttenuationTexture(System.Int32):252(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():64(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():65(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():73(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():74(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():80(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():81(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():94(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():95(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():98(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():99(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():100(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():101(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():102(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():103(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():109(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():110(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():111(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():112(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():113(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():114(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():115(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():116(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():117(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():118(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():120(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():121(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():122(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():123(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():124(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():125(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():126(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():127(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():128(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():129(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():131(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():132(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():133(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():134(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():135(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():136(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():137(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():138(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():139(1)
[none]System.Void ClusterShading.ClusterCullLighting::.ctor():140(1)
[none]System.Void ClusterShading.ClusterLight::.ctor():15(1)
[none]System.Void M1.GraphicsLevelSetting.GraphicsLevel::.cctor():37(1)
[none]System.Void M1.GraphicsLevelSetting.GraphicsLevel::.cctor():39(1)
[none]System.Void M1.GraphicsLevelSetting.GraphicsLevel::.cctor():47(1)
[none]System.Void M1.GraphicsLevelSetting.GraphicsLevel::.cctor():51(1)
[none]System.Void M1.GPUInstance.InstanceRenderObject::.ctor():22(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::createInstanceGroupData(UnityEngine.Mesh):112(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceObjectToWorldMatrixBuffer(System.Int32,UnityEngine.ComputeBuffer,UnityEngine.ComputeBuffer,System.UInt32[],System.Collections.ArrayList):165(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceWorldToObjectMatrixBuffer(System.Int32,UnityEngine.ComputeBuffer,System.Collections.ArrayList):203(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceLightMapBuffer(UnityEngine.ComputeBuffer,System.Collections.ArrayList):234(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceWorldTransformParamsBuffer(UnityEngine.ComputeBuffer,System.Collections.ArrayList):317(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceWorldTransformParamsBufferProperty(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):350(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):541(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):542(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):543(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):544(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):545(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):546(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::updateInstaneSHParamsBufferPropertyOptimized(UnityEngine.MaterialPropertyBlock,System.Collections.ArrayList):547(1)
[find:Update, M1.GPUInstance.InstanceGroupData::updateInstanceData][none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceData():647(1)
[find:Update, M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject][none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject():787(1)
[find:Update, M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject][none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject():792(1)
[find:Update, M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject][none]System.Void M1.GPUInstance.InstanceGroupData::updateInstanceRenderObject():826(1)
[none]System.Void M1.GPUInstance.InstanceGroupData::.cctor():83(1)
[none]System.Void M1.GPUInstance.InstanceObject::Start():93(1)
[none]System.Void M1.GPUInstance.InstanceObject::.cctor():26(1)
[none]System.Void M1.ACR.M1SHData::.cctor():16(1)
[none]System.Void M1.ACR.M1SHData::.cctor():23(1)
[find:Update, M1.ACR.MMOSceneManager::Update][none]System.Void M1.ACR.MMOSceneManager::Update():105(1)
[none]System.Void M1.ACR.SQTRoot::.ctor(System.Int32):19(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():278(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():288(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():289(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():290(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():295(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():296(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():297(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():302(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():303(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():304(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():305(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():310(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():311(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():312(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():318(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():327(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():328(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():329(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():334(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():335(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():336(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():341(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():342(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():343(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():348(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():349(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():350(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():362(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():365(1)
[none]System.Void M1.ACR.Tools.GlobalGraphicManagerEditor::OnInspectorGUI():366(1)
[none]Cinemachine.CinemachineVirtualCameraBase[] Cinemachine.CinemachineClearShot::Randomize(Cinemachine.CinemachineVirtualCameraBase[]):351(1)
[none]System.String[] Cinemachine.CinemachineFreeLook::get_RigNames():76(1)
[none]System.Single[] Cinemachine.CinemachineFreeLook::get_DefaultRadius():79(1)
[none]System.Single[] Cinemachine.CinemachineFreeLook::get_DefaultHeight():82(1)
[none]System.Void Cinemachine.CinemachineFreeLook::CreateRigs(Cinemachine.CinemachineVirtualCamera[]):276(1)
[none]System.Void Cinemachine.CinemachineFreeLook::UpdateRigCache():366(1)
[none]System.Void Cinemachine.CinemachineFreeLook::UpdateRigCache():367(1)
[none]System.Int32 Cinemachine.CinemachineFreeLook::LocateExistingRigs(System.String[],System.Boolean):387(1)
[none]System.Int32 Cinemachine.CinemachineFreeLook::LocateExistingRigs(System.String[],System.Boolean):388(1)
[none]System.Void Cinemachine.CinemachineFreeLook::.ctor():234(1)
[none]System.Void Cinemachine.CinemachinePath::.ctor():57(1)
[none]System.Void Cinemachine.CinemachineStateDrivenCamera::ValidateInstructions():297(1)
[none]System.Void Cinemachine.CinemachineTargetGroup::.ctor():61(1)
[none]System.Void Cinemachine.CinemachineOrbitalTransposer/HeadingTracker::.ctor(System.Int32):629(1)
[none]Cinemachine.CameraState Cinemachine.CinemachineTrackedDolly::MutateCameraState(Cinemachine.CameraState,Cinemachine.CameraState,System.Single):174(1)
[none]System.Void Cinemachine.CinemachineVirtualCameraBase::.ctor():40(1)
[none]System.Void Cinemachine.NoiseSettings::.ctor():52(1)
[none]System.Void Cinemachine.NoiseSettings::.ctor():61(1)
[none]System.Void Cinemachine.Utility.GaussianWindow1d`1::GenerateKernel(System.Single,System.Int32):20(1)
[none]T Cinemachine.Utility.GaussianWindow1d`1::Filter(T):43(1)
[none]System.Collections.Generic.IEnumerable`1<System.Type> Cinemachine.Utility.ReflectionHelpers::GetTypesInAssembly(System.Reflection.Assembly,System.Predicate`1<System.Type>):42(1)
[none]System.Object Cinemachine.Utility.ReflectionHelpers::GetParentObject(System.String,System.Object):133(1)
